U1/V,IA/nA
9.79,0.77
9.81,0.76
9.84,0.77
9.86,0.78
9.89,0.77
9.91,0.77
9.93,0.78
9.96,0.79
9.98,0.78
10.01,0.78
10.03,0.79
10.06,0.79
10.08,0.78
10.1,0.78
10.13,0.8
10.15,0.8
10.18,0.8
10.2,0.8
10.23,0.8
10.25,0.81
10.28,0.8
10.3,0.8
10.32,0.81
10.35,0.81
10.37,0.81
10.4,0.81
10.42,0.82
10.45,0.82
10.47,0.82
10.5,0.82
10.52,0.82
10.54,0.83
10.57,0.82
10.59,0.83
10.62,0.83
10.64,0.84
10.67,0.83
10.69,0.84
10.72,0.84
10.74,0.85
10.76,0.84
10.79,0.84
10.81,0.85
10.84,0.85
10.86,0.85
10.89,0.85
10.91,0.86
10.94,0.86
10.96,0.86
10.98,0.86
11.01,0.86
11.03,0.86
11.06,0.86
11.08,0.86
11.11,0.87
11.13,0.87
11.15,0.87
11.18,0.87
11.2,0.88
11.23,0.88
11.25,0.87
11.28,0.88
11.3,0.9
11.33,0.9
11.35,0.9
11.37,0.91
11.4,0.92
11.42,0.91
11.45,0.91
11.47,0.92
11.5,0.92
11.52,0.91
11.55,0.91
11.57,0.92
11.59,0.93
11.62,0.92
11.64,0.92
11.67,0.93
11.69,0.93
11.72,0.93
11.74,0.93
11.77,0.93
11.79,0.93
11.81,0.93
11.84,0.93
11.86,0.94
11.89,0.94
11.91,0.94
11.94,0.94
11.96,0.92
11.99,0.92
12.01,0.91
12.03,0.92
12.06,0.93
12.08,0.93
12.11,0.92
12.13,0.93
12.16,0.94
12.18,0.94
12.21,0.93
12.23,0.93
12.25,0.94
12.28,0.94
12.3,0.94
12.33,0.94
12.35,0.95
12.38,0.95
12.4,0.94
12.42,0.94
12.45,0.95
12.47,0.96
12.5,0.95
12.52,0.95
12.55,0.96
12.57,0.97
12.6,0.96
12.62,0.96
12.64,0.97
12.67,0.97
12.69,0.97
12.72,0.97
12.74,0.97
12.77,0.98
12.79,0.97
12.82,0.97
12.84,0.98
12.86,0.98
12.89,0.98
12.91,0.98
12.94,0.98
12.96,0.98
12.99,0.98
13.01,0.98
13.04,0.99
13.06,0.99
13.08,0.99
13.11,0.99
13.13,0.99
13.16,0.99
13.18,0.99
13.21,0.99
13.23,0.99
13.26,0.99
13.28,0.99
13.3,1
13.33,1
13.35,1
13.38,1
13.4,1
13.43,1.01
13.45,1
13.47,1
13.5,1.01
13.52,1.01
13.55,1
13.57,1
13.6,1.01
13.62,1.01
13.65,1
13.67,1.01
13.69,1.01
13.72,1.01
13.74,1.01
13.77,1.01
13.79,1.03
13.82,1.03
13.84,1.02
13.87,1.03
13.89,1.03
13.91,1.03
13.94,1.02
13.96,1.02
13.99,1.04
14.01,1.04
14.04,1.03
14.06,1.03
14.09,1.04
14.11,1.05
14.13,1.04
14.16,1.04
14.18,1.05
14.21,1.05
14.23,1.04
14.26,1.04
14.28,1.05
14.31,1.06
14.33,1.05
14.35,1.05
14.38,1.06
14.4,1.06
14.43,1.05
14.45,1.05
14.48,1.06
14.5,1.06
14.52,1.06
14.55,1.06
14.57,1.07
14.6,1.07
14.62,1.06
14.65,1.06
14.67,1.07
14.7,1.07
14.72,1.06
14.74,1.07
14.77,1.07
14.79,1.07
14.82,1.07
14.84,1.07
14.87,1.07
14.89,1.07
14.92,1.07
14.94,1.07
14.96,1.08
14.99,1.08
15.01,1.08
15.04,1.08
15.06,1.08
15.09,1.08
15.11,1.08
15.14,1.08
15.16,1.08
15.18,1.08
15.21,1.08
15.23,1.09
15.26,1.09
15.28,1.08
15.31,1.08
15.33,1.09
15.36,1.08
15.38,1.07
15.4,1.08
15.43,1.08
15.45,1.08
15.48,1.07
15.5,1.07
15.53,1.08
15.55,1.07
15.57,1.06
15.6,1.06
15.62,1.07
15.65,1.06
15.67,1.05
15.7,1.05
15.72,1.06
15.75,1.05
15.77,1.04
15.79,1.04
15.82,1.04
15.84,1.03
15.87,1.02
15.89,1.01
15.92,1.02
15.94,1.01
15.97,1
15.99,1
16.01,1
16.04,1
16.06,0.98
16.09,0.98
16.11,0.98
16.14,0.97
16.16,0.96
16.19,0.96
16.21,0.96
16.23,0.95
16.26,0.94
16.28,0.93
16.31,0.93
16.33,0.93
16.36,0.92
16.38,0.91
16.41,0.91
16.43,0.9
16.45,0.89
16.48,0.89
16.5,0.89
16.53,0.88
16.55,0.87
16.58,0.87
16.6,0.86
16.63,0.85
16.65,0.84
16.67,0.84
16.7,0.84
16.72,0.82
16.75,0.82
16.77,0.81
16.8,0.81
16.82,0.79
