U1/V,IA/nA
42.78,1.71
42.8,1.71
42.83,1.73
42.85,1.74
42.88,1.75
42.9,1.73
42.93,1.74
42.95,1.76
42.97,1.77
43,1.77
43.02,1.79
43.05,1.8
43.07,1.81
43.1,1.81
43.12,1.82
43.15,1.84
43.17,1.85
43.19,1.85
43.22,1.87
43.24,1.88
43.27,1.89
43.29,1.89
43.32,1.9
43.34,1.92
43.36,1.92
43.39,1.93
43.41,1.94
43.44,1.96
43.46,1.97
43.49,1.97
43.51,1.98
43.54,1.99
43.56,2
43.58,2.01
43.61,2.02
43.63,2.04
43.66,2.05
43.68,2.05
43.71,2.06
43.73,2.08
43.76,2.08
43.78,2.08
43.8,2.09
43.83,2.1
43.85,2.11
43.88,2.12
43.9,2.13
43.93,2.14
43.95,2.15
43.98,2.16
44,2.17
44.02,2.17
44.05,2.18
44.07,2.19
44.1,2.2
44.12,2.21
44.15,2.22
44.17,2.23
44.2,2.24
44.22,2.24
44.24,2.25
44.27,2.26
44.29,2.27
44.32,2.27
44.34,2.28
44.37,2.29
44.39,2.31
44.41,2.31
44.44,2.32
44.46,2.33
44.49,2.34
44.51,2.34
44.54,2.34
44.56,2.35
44.59,2.37
44.61,2.37
44.63,2.37
44.66,2.38
44.68,2.4
44.71,2.41
44.73,2.41
44.76,2.42
44.78,2.43
44.81,2.44
44.83,2.44
44.85,2.45
44.88,2.46
44.9,2.47
44.93,2.47
44.95,2.48
44.98,2.5
45,2.5
45.03,2.5
45.05,2.51
45.07,2.53
45.1,2.54
45.12,2.54
45.15,2.55
45.17,2.56
45.2,2.57
45.22,2.57
45.25,2.58
45.27,2.6
45.29,2.6
45.32,2.6
45.34,2.61
45.37,2.63
45.39,2.63
45.42,2.63
45.44,2.64
45.47,2.65
45.49,2.66
45.51,2.66
45.54,2.67
45.56,2.68
45.59,2.69
45.61,2.69
45.64,2.7
45.66,2.71
45.68,2.71
45.71,2.72
45.73,2.73
45.76,2.73
45.78,2.74
45.81,2.74
45.83,2.75
45.86,2.76
45.88,2.76
45.9,2.78
45.93,2.79
45.95,2.79
45.98,2.79
46,2.8
46.03,2.81
46.05,2.82
46.08,2.82
46.1,2.83
46.12,2.84
46.15,2.84
46.17,2.85
46.2,2.85
46.22,2.87
46.25,2.87
46.27,2.87
46.3,2.89
46.32,2.9
46.34,2.9
46.37,2.9
46.39,2.91
46.42,2.93
46.44,2.93
46.47,2.93
46.49,2.94
46.52,2.95
46.54,2.96
46.56,2.96
46.59,2.97
46.61,2.98
46.64,2.98
46.66,2.98
46.69,2.99
46.71,3
46.73,3.01
46.76,3.01
46.78,3.02
46.81,3.04
46.83,3.04
46.86,3.04
46.88,3.05
46.91,3.06
46.93,3.06
46.95,3.06
46.98,3.07
47,3.09
47.03,3.09
47.05,3.09
47.08,3.1
47.1,3.11
47.13,3.11
47.15,3.11
47.17,3.12
47.2,3.13
47.22,3.13
47.25,3.13
47.27,3.14
47.3,3.15
47.32,3.15
47.35,3.15
47.37,3.16
47.39,3.17
47.42,3.17
47.44,3.17
47.47,3.18
47.49,3.19
47.52,3.19
47.54,3.2
47.57,3.21
47.59,3.21
47.61,3.21
47.64,3.22
47.66,3.22
47.69,3.23
47.71,3.23
47.74,3.23
47.76,3.24
47.78,3.25
47.81,3.25
47.83,3.26
47.86,3.27
47.88,3.27
47.91,3.27
47.93,3.28
47.96,3.29
47.98,3.29
48,3.29
48.03,3.31
48.05,3.32
48.08,3.32
48.1,3.32
48.13,3.33
48.15,3.34
48.18,3.34
48.2,3.34
48.22,3.35
48.25,3.36
48.27,3.37
48.3,3.37
48.32,3.37
48.35,3.39
48.37,3.38
48.4,3.38
48.42,3.39
48.44,3.4
48.47,3.4
48.49,3.4
48.52,3.41
48.54,3.42
48.57,3.42
48.59,3.42
48.62,3.43
48.64,3.44
48.66,3.44
48.69,3.44
48.71,3.44
48.74,3.46
48.76,3.46
48.79,3.45
48.81,3.46
48.84,3.47
48.86,3.46
48.88,3.46
48.91,3.46
48.93,3.47
48.96,3.47
48.98,3.46
49.01,3.47
49.03,3.48
49.05,3.48
49.08,3.47
49.1,3.48
49.13,3.48
49.15,3.48
49.18,3.48
49.2,3.48
49.23,3.48
49.25,3.48
49.27,3.48
49.3,3.48
49.32,3.48
49.35,3.48
49.37,3.48
49.4,3.48
49.42,3.48
49.45,3.48
49.47,3.48
49.49,3.48
49.52,3.47
49.54,3.47
49.57,3.47
49.59,3.47
49.62,3.46
49.64,3.46
49.67,3.46
49.69,3.46
49.71,3.45
49.74,3.45
49.76,3.45
49.79,3.45
49.81,3.44
49.84,3.44
49.86,3.44
49.89,3.44
49.91,3.43
49.93,3.42
49.96,3.43
49.98,3.43
50.01,3.42
50.03,3.41
50.06,3.41
50.08,3.41
50.1,3.4
50.13,3.38
50.15,3.39
50.18,3.39
50.2,3.38
50.23,3.37
50.25,3.37
50.28,3.37
50.3,3.36
50.32,3.35
50.35,3.35
50.37,3.35
50.4,3.34
50.42,3.33
50.45,3.33
50.47,3.33
50.5,3.31
50.52,3.3
50.54,3.3
50.57,3.3
50.59,3.29
50.62,3.27
50.64,3.27
50.67,3.27
50.69,3.26
50.72,3.25
50.74,3.25
50.76,3.25
50.79,3.24
50.81,3.22
50.84,3.22
50.86,3.22
50.89,3.21
50.91,3.2
50.94,3.19
50.96,3.19
50.98,3.18
51.01,3.17
51.03,3.16
51.06,3.16
51.08,3.14
51.11,3.14
51.13,3.13
51.15,3.12
51.18,3.12
51.2,3.11
51.23,3.11
51.25,3.1
51.28,3.08
51.3,3.07
51.33,3.06
51.35,3.05
51.37,3.04
51.4,3.03
51.42,3.03
51.45,3.02
51.47,3
51.5,3
51.52,2.99
51.55,2.98
51.57,2.96
51.59,2.95
51.62,2.95
51.64,2.94
51.67,2.92
51.69,2.92
51.72,2.91
51.74,2.89
51.77,2.88
51.79,2.87
51.81,2.86
51.84,2.85
51.86,2.83
51.89,2.83
51.91,2.82
51.94,2.81
51.96,2.79
51.99,2.78
52.01,2.78
52.03,2.76
52.06,2.74
52.08,2.74
52.11,2.73
52.13,2.71
52.16,2.7
52.18,2.69
52.2,2.69
52.23,2.67
52.25,2.65
52.28,2.64
52.3,2.64
52.33,2.62
52.35,2.6
52.38,2.6
52.4,2.6
52.42,2.6
52.45,2.58
52.47,2.58
52.5,2.57
52.52,2.55
52.55,2.53
52.57,2.52
52.6,2.52
52.62,2.5
52.64,2.49
52.67,2.48
52.69,2.47
52.72,2.46
52.74,2.44
52.77,2.43
52.79,2.42
52.82,2.41
52.84,2.39
52.86,2.39
52.89,2.37
52.91,2.36
52.94,2.35
52.96,2.33
52.99,2.32
53.01,2.31
53.04,2.3
53.06,2.29
53.08,2.25
53.11,2.24
53.13,2.23
53.16,2.22
53.18,2.21
53.21,2.19
53.23,2.18
53.26,2.17
53.28,2.15
53.3,2.14
53.33,2.13
53.35,2.12
53.38,2.11
53.4,2.09
53.43,2.09
53.45,2.08
53.47,2.06
53.5,2.04
53.52,2.03
53.55,2.03
53.57,2.01
53.6,1.99
53.62,1.99
53.65,1.98
53.67,1.96
53.69,1.95
53.72,1.93
53.74,1.93
53.77,1.91
53.79,1.89
53.82,1.89
53.84,1.88
53.87,1.86
53.89,1.84
53.91,1.83
53.94,1.82
53.96,1.81
53.99,1.79
54.01,1.78
54.04,1.77
54.06,1.76
54.09,1.74
54.11,1.73
54.13,1.72
54.16,1.71
54.18,1.69
54.21,1.67
54.23,1.66
54.26,1.66
54.28,1.64
54.31,1.63
54.33,1.62
54.35,1.61
54.38,1.59
54.4,1.58
54.43,1.57
54.45,1.56
54.48,1.54
54.5,1.52
54.52,1.51
54.55,1.5
54.57,1.5
54.6,1.48
54.62,1.47
54.65,1.46
54.67,1.44
54.7,1.43
54.72,1.42
54.74,1.41
54.77,1.4
54.79,1.39
54.82,1.37
54.84,1.36
54.87,1.35
54.89,1.34
54.92,1.32
54.94,1.32
54.96,1.3
54.99,1.29
55.01,1.28
55.04,1.27
55.06,1.27
55.09,1.25
55.11,1.24
55.14,1.23
55.16,1.22
55.18,1.2
55.21,1.19
55.23,1.18
55.26,1.18
55.28,1.16
55.31,1.15
55.33,1.14
55.36,1.14
55.38,1.12
55.4,1.11
55.43,1.1
55.45,1.1
55.48,1.08
55.5,1.07
55.53,1.07
55.55,1.07
55.57,1.05
55.6,1.04
55.62,1.03
55.65,1.03
55.67,1.02
55.7,1.01
55.72,1.01
55.75,1.01
55.77,1
55.79,0.99
55.82,0.99
55.84,1
55.87,0.98
55.89,0.97
55.92,0.98
55.94,0.98
55.97,0.97
55.99,0.97
56.01,0.98
56.04,0.98
56.06,0.97
56.09,0.97
56.11,0.98
56.14,0.98
56.16,0.98
56.19,0.97
56.21,0.98
56.23,0.99
56.26,0.99
56.28,1
56.31,1.01
56.33,1.01
56.36,1.01
56.38,1.01
56.41,1.01
56.43,1.02
56.45,1.02
56.48,1.02
56.5,1.03
56.53,1.04
56.55,1.04
56.58,1.04
56.6,1.05
56.62,1.05
56.65,1.05
56.67,1.06
56.7,1.07
56.72,1.07
56.75,1.07
56.77,1.07
56.8,1.08
56.82,1.08
56.84,1.08
56.87,1.08
56.89,1.09
56.92,1.09
56.94,1.09
56.97,1.09
56.99,1.1
57.02,1.1
57.04,1.1
57.06,1.11
57.09,1.11
57.11,1.1
57.14,1.1
57.16,1.11
57.19,1.11
57.21,1.11
57.24,1.11
57.26,1.11
57.28,1.12
57.31,1.11
57.33,1.11
57.36,1.12
57.38,1.12
57.41,1.12
57.43,1.11
57.46,1.13
57.48,1.14
57.5,1.13
57.53,1.13
57.55,1.14
57.58,1.14
57.6,1.14
57.63,1.13
57.65,1.15
57.68,1.15
57.7,1.15
57.72,1.15
57.75,1.16
57.77,1.17
57.8,1.17
57.82,1.17
57.85,1.18
57.87,1.19
57.89,1.19
57.92,1.2
57.94,1.21
57.97,1.22
57.99,1.22
58.02,1.23
58.04,1.24
58.07,1.25
58.09,1.25
58.11,1.26
58.14,1.28
58.16,1.29
58.19,1.29
58.21,1.3
58.24,1.32
58.26,1.33
58.29,1.34
58.31,1.35
58.33,1.36
58.36,1.37
58.38,1.38
58.41,1.39
58.43,1.41
58.46,1.42
58.48,1.43
58.51,1.44
58.53,1.45
58.55,1.46
58.58,1.47
58.6,1.48
58.63,1.5
58.65,1.51
58.68,1.52
58.7,1.53
58.73,1.54
58.75,1.55
58.77,1.56
58.8,1.57
58.82,1.58
58.85,1.58
58.87,1.59
58.9,1.61
58.92,1.62
58.94,1.63
58.97,1.63
58.99,1.65
59.02,1.66
59.04,1.66
59.07,1.67
59.09,1.69
59.12,1.7
59.14,1.71
59.16,1.71
59.19,1.73
59.21,1.74
59.24,1.74
59.26,1.75
59.29,1.77
59.31,1.78
59.34,1.78
59.36,1.79
59.38,1.81
59.41,1.82
59.43,1.83
59.46,1.84
59.48,1.85
59.51,1.87
59.53,1.87
59.56,1.87
59.58,1.89
59.6,1.9
59.63,1.91
59.65,1.92
59.68,1.93
59.7,1.95
59.73,1.95
59.75,1.96
59.78,1.98
59.8,1.99
59.82,2
59.85,2.01
59.87,2.03
59.9,2.04
59.92,2.05
59.95,2.06
59.97,2.08
59.99,2.09
60.02,2.1
60.04,2.1
60.07,2.12
60.09,2.14
60.12,2.15
60.14,2.16
60.17,2.18
60.19,2.19
60.21,2.2
60.24,2.21
60.26,2.23
60.29,2.24
60.31,2.25
60.34,2.26
60.36,2.28
60.39,2.29
60.41,2.3
60.43,2.32
60.46,2.33
60.48,2.34
60.51,2.35
60.53,2.37
60.56,2.38
60.58,2.39
60.61,2.4
60.63,2.42
60.65,2.44
60.68,2.45
60.7,2.45
60.73,2.47
60.75,2.48
60.78,2.48
60.8,2.49
60.83,2.51
60.85,2.53
60.87,2.54
60.9,2.54
60.92,2.56
60.95,2.58
60.97,2.58
61,2.59
61.02,2.61
61.05,2.62
61.07,2.63
61.09,2.64
61.12,2.66
61.14,2.67
61.17,2.68
61.19,2.7
61.22,2.71
61.24,2.73
61.26,2.73
61.29,2.74
61.31,2.77
61.34,2.78
61.36,2.79
61.39,2.8
61.41,2.82
61.44,2.84
61.46,2.84
61.48,2.85
61.51,2.88
61.53,2.89
61.56,2.9
61.58,2.91
61.61,2.93
61.63,2.95
61.66,2.95
61.68,2.97
61.7,2.99
61.73,3
61.75,3.01
61.78,3.02
61.8,3.04
61.83,3.06
61.85,3.07
61.88,3.08
61.9,3.1
61.92,3.11
61.95,3.12
61.97,3.13
62,3.14
62.02,3.16
62.05,3.17
62.07,3.18
62.1,3.2
62.12,3.21
62.14,3.23
62.17,3.24
62.19,3.26
62.22,3.27
62.24,3.27
62.27,3.29
62.29,3.31
62.31,3.32
62.34,3.33
62.36,3.35
62.39,3.36
62.41,3.37
62.44,3.38
62.46,3.4
62.49,3.41
62.51,3.42
62.53,3.44
62.56,3.45
62.58,3.47
62.61,3.48
62.63,3.49
62.66,3.51
62.68,3.52
62.71,3.53
62.73,3.54
62.75,3.56
62.78,3.57
62.8,3.58
62.83,3.6
62.85,3.62
62.88,3.63
62.9,3.64
62.93,3.65
62.95,3.67
62.97,3.68
63,3.69
63.02,3.71
63.05,3.73
63.07,3.75
63.1,3.76
63.12,3.77
63.15,3.79
63.17,3.8
63.19,3.8
63.22,3.81
63.24,3.84
63.27,3.85
63.29,3.86
63.32,3.88
63.34,3.89
63.36,3.91
63.39,3.92
63.41,3.93
63.44,3.95
63.46,3.96
63.49,3.97
63.51,3.98
63.54,4
63.56,4.02
63.58,4.03
63.61,4.04
63.63,4.06
63.66,4.07
63.68,4.08
63.71,4.09
63.73,4.11
63.76,4.13
63.78,4.13
63.8,4.15
63.83,4.17
63.85,4.18
63.88,4.19
63.9,4.2
63.93,4.22
63.95,4.23
63.98,4.24
64,4.26
64.02,4.28
64.05,4.29
64.07,4.3
64.1,4.31
64.12,4.33
64.15,4.34
64.17,4.35
64.2,4.37
64.22,4.39
64.24,4.39
64.27,4.41
64.29,4.43
64.32,4.44
64.34,4.45
64.37,4.46
64.39,4.48
64.41,4.49
64.44,4.5
64.46,4.52
64.49,4.53
64.51,4.55
64.54,4.56
64.56,4.57
64.59,4.59
64.61,4.6
64.63,4.6
64.66,4.62
64.68,4.64
64.71,4.65
64.73,4.66
64.76,4.67
64.78,4.69
64.81,4.7
64.83,4.71
64.85,4.72
64.88,4.74
64.9,4.76
64.93,4.76
64.95,4.78
64.98,4.8
65,4.82
65.03,4.82
65.05,4.84
65.07,4.85
65.1,4.87
65.12,4.87
65.15,4.88
65.17,4.9
65.2,4.91
65.22,4.92
65.25,4.94
65.27,4.96
65.29,4.97
65.32,4.97
65.34,4.98
65.37,5.01
65.39,5.02
65.42,5.03
65.44,5.04
65.47,5.06
65.49,5.07
65.51,5.07
65.54,5.09
65.56,5.1
65.59,5.11
65.61,5.12
65.64,5.13
65.66,5.14
65.68,5.16
65.71,5.16
65.73,5.18
65.76,5.19
65.78,5.2
65.81,5.21
65.83,5.22
65.86,5.23
65.88,5.24
65.9,5.25
65.93,5.27
65.95,5.28
65.98,5.29
66,5.29
66.03,5.31
66.05,5.32
66.08,5.32
66.1,5.33
66.12,5.35
66.15,5.36
66.17,5.36
66.2,5.38
66.22,5.39
66.25,5.4
66.27,5.4
66.3,5.41
66.32,5.42
66.34,5.43
66.37,5.43
66.39,5.44
66.42,5.45
66.44,5.46
66.47,5.46
66.49,5.47
66.52,5.48
66.54,5.49
66.56,5.49
66.59,5.5
66.61,5.51
66.64,5.51
66.66,5.51
66.69,5.52
66.71,5.53
66.73,5.54
66.76,5.54
66.78,5.54
66.81,5.55
66.83,5.56
66.86,5.55
66.88,5.56
66.91,5.58
66.93,5.58
66.95,5.58
66.98,5.59
67,5.6
67.03,5.6
67.05,5.6
67.08,5.6
67.1,5.62
67.13,5.62
67.15,5.62
67.17,5.63
67.2,5.64
67.22,5.64
67.25,5.64
67.27,5.64
67.3,5.66
67.32,5.66
67.35,5.66
67.37,5.66
67.39,5.67
67.42,5.68
67.44,5.68
67.47,5.68
67.49,5.69
67.52,5.69
67.54,5.69
67.57,5.69
67.59,5.7
67.61,5.7
67.64,5.7
67.66,5.71
67.69,5.71
67.71,5.71
67.74,5.71
67.76,5.72
67.78,5.72
67.81,5.71
67.83,5.71
67.86,5.72
67.88,5.73
67.91,5.72
67.93,5.72
67.96,5.72
67.98,5.72
68,5.72
68.03,5.72
68.05,5.73
68.08,5.72
68.1,5.72
68.13,5.72
68.15,5.73
68.18,5.73
68.2,5.72
68.22,5.72
68.25,5.72
68.27,5.72
68.3,5.7
68.32,5.71
68.35,5.71
68.37,5.71
68.4,5.7
68.42,5.7
68.44,5.71
68.47,5.7
68.49,5.69
68.52,5.69
68.54,5.69
68.57,5.69
68.59,5.68
68.62,5.68
68.64,5.69
68.66,5.69
68.69,5.68
68.71,5.67
68.74,5.67
68.76,5.67
68.79,5.66
68.81,5.65
68.83,5.66
68.86,5.65
68.88,5.64
68.91,5.64
68.93,5.64
68.96,5.64
68.98,5.63
69.01,5.62
69.03,5.63
69.05,5.62
69.08,5.61
69.1,5.61
69.13,5.61
69.15,5.61
69.18,5.59
69.2,5.59
69.23,5.59
69.25,5.58
69.27,5.57
69.3,5.57
69.32,5.57
69.35,5.56
69.37,5.55
69.4,5.55
69.42,5.55
69.45,5.54
69.47,5.53
69.49,5.52
69.52,5.52
69.54,5.51
69.57,5.5
69.59,5.5
69.62,5.49
69.64,5.48
69.67,5.48
69.69,5.48
69.71,5.46
69.74,5.46
69.76,5.45
69.79,5.45
69.81,5.44
69.84,5.43
69.86,5.42
69.89,5.42
69.91,5.41
69.93,5.4
69.96,5.39
69.98,5.39
70.01,5.37
70.03,5.36
70.06,5.36
70.08,5.36
70.1,5.34
70.13,5.33
70.15,5.32
70.18,5.32
70.2,5.31
70.23,5.29
70.25,5.28
70.28,5.28
70.3,5.27
70.32,5.25
70.35,5.25
70.37,5.25
70.4,5.23
70.42,5.22
70.45,5.21
70.47,5.21
70.5,5.19
70.52,5.18
70.54,5.17
70.57,5.17
70.59,5.16
70.62,5.14
70.64,5.14
70.67,5.13
70.69,5.12
70.72,5.09
70.74,5.09
70.76,5.09
70.79,5.07
70.81,5.06
70.84,5.05
70.86,5.04
70.89,5.04
70.91,5.02
70.94,5.01
70.96,5
70.98,4.99
71.01,4.97
71.03,4.96
71.06,4.96
71.08,4.94
71.11,4.92
71.13,4.92
71.15,4.91
71.18,4.89
71.2,4.88
71.23,4.87
71.25,4.86
71.28,4.84
71.3,4.83
71.33,4.82
71.35,4.81
71.37,4.8
71.4,4.79
71.42,4.77
71.45,4.76
71.47,4.74
71.5,4.73
71.52,4.72
71.55,4.71
71.57,4.69
71.59,4.69
71.62,4.67
71.64,4.66
71.67,4.64
71.69,4.63
71.72,4.62
71.74,4.61
71.77,4.59
71.79,4.58
71.81,4.58
71.84,4.56
71.86,4.54
71.89,4.53
71.91,4.52
71.94,4.5
71.96,4.48
71.99,4.48
72.01,4.47
72.03,4.45
72.06,4.43
72.08,4.42
72.11,4.42
72.13,4.4
72.16,4.38
72.18,4.37
72.2,4.37
72.23,4.35
72.25,4.33
72.28,4.32
72.3,4.32
72.33,4.3
72.35,4.28
72.38,4.28
72.4,4.27
72.42,4.26
72.45,4.23
72.47,4.23
72.5,4.23
72.52,4.22
72.55,4.2
72.57,4.19
72.6,4.19
72.62,4.17
72.64,4.16
72.67,4.15
72.69,4.15
72.72,4.14
72.74,4.13
72.77,4.12
72.79,4.12
72.82,4.11
72.84,4.1
72.86,4.09
72.89,4.09
72.91,4.08
72.94,4.07
72.96,4.07
72.99,4.07
73.01,4.06
73.04,4.05
73.06,4.05
73.08,4.05
73.11,4.04
73.13,4.03
73.16,4.03
73.18,4.03
73.21,4.02
73.23,4.02
73.25,4.02
73.28,4.01
73.3,4
73.33,4
73.35,4
73.38,3.99
73.4,3.98
73.43,3.98
73.45,3.98
73.47,3.97
73.5,3.96
73.52,3.96
73.55,3.96
73.57,3.95
73.6,3.94
73.62,3.93
73.65,3.93
73.67,3.93
73.69,3.91
73.72,3.92
73.74,3.91
73.77,3.9
73.79,3.89
73.82,3.89
73.84,3.88
73.87,3.87
73.89,3.85
73.91,3.85
73.94,3.85
73.96,3.84
73.99,3.83
74.01,3.82
74.04,3.83
74.06,3.81
74.09,3.8
74.11,3.79
74.13,3.79
74.16,3.78
74.18,3.77
74.21,3.76
74.23,3.77
74.26,3.75
74.28,3.74
74.31,3.74
74.33,3.73
74.35,3.72
74.38,3.71
74.4,3.71
74.43,3.71
74.45,3.71
74.48,3.69
74.5,3.7
74.52,3.7
74.55,3.69
74.57,3.67
74.6,3.67
74.62,3.68
74.65,3.67
74.67,3.66
74.7,3.67
74.72,3.67
74.74,3.67
74.77,3.66
74.79,3.67
74.82,3.67
74.84,3.67
74.87,3.66
74.89,3.67
74.92,3.68
74.94,3.68
74.96,3.68
74.99,3.69
75.01,3.69
75.04,3.68
75.06,3.69
75.09,3.69
75.11,3.69
75.14,3.7
75.16,3.7
75.18,3.71
75.21,3.71
75.23,3.71
75.26,3.72
75.28,3.73
75.31,3.72
75.33,3.72
75.36,3.73
75.38,3.74
75.4,3.74
75.43,3.74
75.45,3.75
75.48,3.75
75.5,3.75
75.53,3.75
75.55,3.75
75.57,3.76
75.6,3.76
75.62,3.76
75.65,3.77
75.67,3.77
75.7,3.77
75.72,3.77
75.75,3.78
75.77,3.78
75.79,3.78
75.82,3.77
75.84,3.78
75.87,3.79
75.89,3.78
75.92,3.78
75.94,3.79
75.97,3.8
75.99,3.79
76.01,3.78
76.04,3.79
76.06,3.8
76.09,3.8
76.11,3.79
76.14,3.8
76.16,3.81
76.19,3.81
76.21,3.81
76.23,3.82
76.26,3.82
76.28,3.82
76.31,3.81
76.33,3.82
76.36,3.84
76.38,3.84
76.41,3.84
76.43,3.85
76.45,3.85
76.48,3.86
76.5,3.86
76.53,3.86
76.55,3.87
76.58,3.87
76.6,3.88
76.62,3.89
76.65,3.9
76.67,3.9
76.7,3.91
76.72,3.92
76.75,3.93
76.77,3.93
76.8,3.94
76.82,3.97
76.84,3.98
76.87,3.99
76.89,4
76.92,4.01
76.94,4.02
76.97,4.02
76.99,4.03
77.02,4.04
77.04,4.05
77.06,4.06
77.09,4.06
77.11,4.08
77.14,4.09
77.16,4.09
77.19,4.11
77.21,4.12
77.24,4.13
77.26,4.13
77.28,4.14
77.31,4.16
77.33,4.16
77.36,4.17
77.38,4.18
77.41,4.2
77.43,4.2
77.46,4.21
77.48,4.2
77.5,4.21
77.53,4.21
77.55,4.22
77.58,4.24
77.6,4.25
77.63,4.25
77.65,4.26
77.68,4.27
77.7,4.29
77.72,4.3
77.75,4.3
77.77,4.31
77.8,4.33
77.82,4.33
77.85,4.34
77.87,4.36
77.89,4.37
77.92,4.38
77.94,4.38
77.97,4.4
77.99,4.41
78.02,4.42
78.04,4.43
78.07,4.44
78.09,4.47
78.11,4.47
78.14,4.48
78.16,4.5
78.19,4.51
78.21,4.52
78.24,4.52
78.26,4.54
78.29,4.55
78.31,4.56
78.33,4.57
78.36,4.59
78.38,4.6
78.41,4.62
78.43,4.63
78.46,4.64
78.48,4.65
78.51,4.66
78.53,4.68
78.55,4.7
78.58,4.71
78.6,4.72
78.63,4.73
78.65,4.75
78.68,4.77
78.7,4.78
78.73,4.79
78.75,4.81
78.77,4.82
78.8,4.84
78.82,4.85
78.85,4.87
78.87,4.89
78.9,4.89
78.92,4.91
78.94,4.93
78.97,4.94
78.99,4.95
79.02,4.97
79.04,4.99
79.07,5
79.09,5.01
79.12,5.03
79.14,5.05
79.16,5.06
79.19,5.07
79.21,5.09
79.24,5.11
79.26,5.13
79.29,5.14
79.31,5.16
79.34,5.18
79.36,5.2
79.38,5.21
79.41,5.22
79.43,5.25
79.46,5.25
79.48,5.26
79.51,5.29
79.53,5.32
79.56,5.33
79.58,5.34
79.6,5.36
79.63,5.39
79.65,5.4
79.68,5.4
79.7,5.43
79.73,5.45
79.75,5.46
79.78,5.48
79.8,5.5
79.82,5.52
79.85,5.53
79.87,5.54
79.9,5.56
79.92,5.58
79.95,5.6
79.97,5.61
79.99,5.63
80.02,5.66
80.04,5.67
80.07,5.69
80.09,5.71
80.12,5.73
80.14,5.74
80.17,5.76
80.19,5.77
80.21,5.8
80.24,5.81
80.26,5.83
80.29,5.85
80.31,5.87
80.34,5.89
80.36,5.9
80.39,5.92
80.41,5.95
80.43,5.96
80.46,5.98
80.48,6.01
80.51,6.02
80.53,6.04
80.56,6.06
80.58,6.09
80.61,6.11
80.63,6.12
80.65,6.14
80.68,6.16
80.7,6.18
80.73,6.2
80.75,6.22
80.78,6.25
80.8,6.27
80.83,6.28
80.85,6.3
80.87,6.32
80.9,6.34
80.92,6.36
80.95,6.38
80.97,6.41
81,6.43
81.02,6.45
81.04,6.47
81.07,6.49
81.09,6.51
81.12,6.53
81.14,6.55
81.17,6.57
81.19,6.59
81.22,6.62
81.24,6.64
81.26,6.66
81.29,6.68
81.31,6.7
81.34,6.72
81.36,6.74
81.39,6.76
81.41,6.79
81.44,6.81
81.46,6.83
81.48,6.85
81.51,6.87
81.53,6.89
81.56,6.92
81.58,6.94
81.61,6.96
81.63,6.98
81.66,7
81.68,7.02
81.7,7.05
81.73,7.07
81.75,7.09
81.78,7.11
81.8,7.13
81.83,7.16
81.85,7.18
81.88,7.19
81.9,7.22
81.92,7.25
81.95,7.26
81.97,7.28
82,7.31
82.02,7.34
82.05,7.36
82.07,7.38
82.1,7.4
82.12,7.43
82.14,7.44
82.17,7.47
82.19,7.5
82.22,7.52
82.24,7.54
82.27,7.56
82.29,7.59
82.31,7.61
82.34,7.62
82.36,7.65
82.39,7.68
82.41,7.7
82.44,7.72
82.46,7.75
82.49,7.77
82.51,7.79
82.53,7.81
82.56,7.84
82.58,7.86
82.61,7.88
82.63,7.9
82.66,7.92
82.68,7.95
82.71,7.97
82.73,7.99
82.75,8.02
82.78,8.04
82.8,8.05
82.83,8.07
82.85,8.1
82.88,8.13
82.9,8.14
82.93,8.16
82.95,8.19
82.97,8.21
83,8.23
83.02,8.25
83.05,8.27
83.07,8.3
83.1,8.31
83.12,8.33
83.15,8.36
83.17,8.39
83.19,8.4
83.22,8.42
83.24,8.44
83.27,8.47
83.29,8.48
83.32,8.49
83.34,8.53
83.36,8.55
83.39,8.56
83.41,8.58
83.44,8.61
83.46,8.64
83.49,8.65
83.51,8.66
83.54,8.69
83.56,8.71
83.58,8.73
83.61,8.75
83.63,8.77
83.66,8.8
83.68,8.81
83.71,8.83
83.73,8.86
83.76,8.88
83.78,8.89
83.8,8.91
83.83,8.94
83.85,8.96
83.88,8.97
83.9,9
83.93,9.02
83.95,9.04
83.98,9.06
84,9.07
84.02,9.1
84.05,9.11
84.07,9.13
84.1,9.15
84.12,9.17
84.15,9.19
84.17,9.21
84.2,9.23
84.22,9.25
84.24,9.27
84.27,9.28
84.29,9.3
84.32,9.32
84.34,9.34
84.37,9.36
84.39,9.38
84.41,9.4
84.44,9.42
84.46,9.43
84.49,9.45
84.51,9.47
84.54,9.48
84.56,9.49
84.59,9.51
84.61,9.54
84.63,9.55
84.66,9.56
84.68,9.59
84.71,9.61
84.73,9.61
84.76,9.63
84.78,9.65
84.81,9.67
84.83,9.68
84.85,9.69
84.88,9.71
84.9,9.73
84.93,9.74
84.95,9.76
84.98,9.77
85,9.79
85.03,9.79
85.05,9.81
85.07,9.83
85.1,9.84
85.12,9.85
85.15,9.87
85.17,9.89
85.2,9.9
85.22,9.91
85.25,9.92
85.27,9.94
85.29,9.96
85.32,9.96
85.34,9.98
85.37,9.99
85.39,10.01
85.42,10.02
85.44,10.03
85.47,10.05
85.49,10.06
85.51,10.07
85.54,10.09
85.56,10.11
85.59,10.12
85.61,10.13
85.64,10.14
85.66,10.16
